Region,City,Participa_mesas,Participa_electors,Participa_votes,Participa_percentage
DE ÑUBLE,BULNES,67,20644,8750,42.39
DE ÑUBLE,CHILLAN,453,153992,72332,46.97
DE ÑUBLE,CHILLAN VIEJO,68,22712,11230,49.45
DE ÑUBLE,COBQUECURA,19,5904,2606,44.14
DE ÑUBLE,COELEMU,57,15372,7739,50.34
DE ÑUBLE,COIHUECO,73,22439,9745,43.43
DE ÑUBLE,EL CARMEN,39,12469,5168,41.45
DE ÑUBLE,NINHUE,21,6078,2454,40.38
DE ÑUBLE,ÑIQUEN,34,10758,4731,43.98
DE ÑUBLE,PEMUCO,29,8294,3409,41.1
DE ÑUBLE,PINTO,37,11523,5199,45.12
DE ÑUBLE,PORTEZUELO,23,5797,2718,46.89
DE ÑUBLE,QUILLON,49,15977,6707,41.98
DE ÑUBLE,QUIRIHUE,37,10977,5200,47.37
DE ÑUBLE,RANQUIL,20,5833,2764,47.39
DE ÑUBLE,SAN CARLOS,142,47823,19651,41.09
DE ÑUBLE,SAN FABIAN,17,5149,2338,45.41
DE ÑUBLE,SAN IGNACIO,52,14746,6222,42.19
DE ÑUBLE,SAN NICOLAS,36,11810,5432,45.99
DE ÑUBLE,TREHUACO,20,6241,2694,43.17
DE ÑUBLE,YUNGAY,49,16460,6863,41.7
DEL BIOBIO,TOTAL,4322,1337610,620290,46.37
DEL BIOBIO,ALTO BIOBIO,19,5583,2008,35.97
DEL BIOBIO,ANTUCO,15,4687,1880,40.11
DEL BIOBIO,ARAUCO,118,31244,14605,46.74
DEL BIOBIO,CABRERO,74,25305,10955,43.29
DEL BIOBIO,CAÑETE,87,29725,12701,42.73
DEL BIOBIO,CHIGUAYANTE,200,68015,34653,50.95
DEL BIOBIO,CONCEPCION,637,200269,98931,49.4
DEL BIOBIO,CONTULMO,23,6114,2755,45.06
DEL BIOBIO,CORONEL,339,90394,41938,46.39
DEL BIOBIO,CURANILAHUE,93,30382,12562,41.35
DEL BIOBIO,FLORIDA,34,10550,4739,44.92
DEL BIOBIO,HUALPEN,244,77313,39650,51.29
DEL BIOBIO,HUALQUI,63,20705,8535,41.22
DEL BIOBIO,LAJA,65,21631,9094,42.04
DEL BIOBIO,LEBU,67,22302,9086,40.74
DEL BIOBIO,LOS ALAMOS,58,18230,7942,43.57
DEL BIOBIO,LOS ANGELES,556,164725,70535,42.82
