Region,City,Participa_mesas,Participa_electors,Participa_votes,Participa_percentage,City_with_id,City_id
DEL BIOBIO,CAÑETE,87,29725,12701,42.73,205-CAÑETE,205
DEL BIOBIO,CHIGUAYANTE,200,68015,34653,50.95,225-CHIGUAYANTE,225
DEL BIOBIO,CONCEPCION,637,200269,98931,49.4,226-CONCEPCION,226
DEL BIOBIO,CONTULMO,23,6114,2755,45.06,206-CONTULMO,206
DEL BIOBIO,CORONEL,339,90394,41938,46.39,227-CORONEL,227
DEL BIOBIO,CURANILAHUE,93,30382,12562,41.35,207-CURANILAHUE,207
DEL BIOBIO,FLORIDA,34,10550,4739,44.92,228-FLORIDA,228
DEL BIOBIO,HUALPEN,244,77313,39650,51.29,229-HUALPEN,229
DEL BIOBIO,HUALQUI,63,20705,8535,41.22,230-HUALQUI,230
DEL BIOBIO,LAJA,65,21631,9094,42.04,214-LAJA,214
DEL BIOBIO,LEBU,67,22302,9086,40.74,208-LEBU,208
DEL BIOBIO,LOS ALAMOS,58,18230,7942,43.57,209-LOS ALAMOS,209
DEL BIOBIO,LOS ANGELES,556,164725,70535,42.82,215-LOS ANGELES,215
DEL BIOBIO,LOTA,147,47446,21542,45.4,231-LOTA,231
DEL BIOBIO,MULCHEN,79,26746,10150,37.95,216-MULCHEN,216
DEL BIOBIO,NACIMIENTO,72,24563,10758,43.8,217-NACIMIENTO,217
DEL BIOBIO,NEGRETE,30,9084,3798,41.81,218-NEGRETE,218
DEL BIOBIO,PENCO,125,42186,21132,50.09,232-PENCO,232
DEL BIOBIO,QUILACO,15,4359,1868,42.85,219-QUILACO,219
DEL BIOBIO,QUILLECO,34,9620,3931,40.86,220-QUILLECO,220
DEL BIOBIO,SAN PEDRO DE LA PAZ,270,91391,46764,51.17,233-SAN PEDRO DE LA PAZ,233
DEL BIOBIO,SAN ROSENDO,15,4362,1933,44.31,221-SAN ROSENDO,221
DEL BIOBIO,SANTA BARBARA,39,13350,5201,38.96,222-SANTA BARBARA,222
DEL BIOBIO,SANTA JUANA,39,13026,5456,41.89,234-SANTA JUANA,234
DEL BIOBIO,TALCAHUANO,465,131721,63741,48.39,235-TALCAHUANO,235
DEL BIOBIO,TIRUA,27,9123,3844,42.14,210-TIRUA,210
DEL BIOBIO,TOME,158,50014,23036,46.06,236-TOME,236
DEL BIOBIO,TUCAPEL,47,13197,5800,43.95,223-TUCAPEL,223
DEL BIOBIO,YUMBEL,68,20248,8767,43.3,224-YUMBEL,224
DE LA ARAUCANIA,TOTAL,2923,887606,400100,45.08,total,-99
DE LA ARAUCANIA,ANGOL,140,46976,21445,45.65,98-ANGOL,98
DE LA ARAUCANIA,CARAHUE,78,24663,9633,39.06,77-CARAHUE,77
DE LA ARAUCANIA,CHOLCHOL,33,11149,5396,48.4,78-CHOLCHOL,78
DE LA ARAUCANIA,COLLIPULLI,67,22172,9624,43.41,99-COLLIPULLI,99
DE LA ARAUCANIA,CUNCO,62,20105,7987,39.73,79-CUNCO,79
DE LA ARAUCANIA,CURACAUTIN,63,21097,7814,37.04,100-CURACAUTIN,100
