Region,City,Boric,Boric_per,Kast,Kast_per,Votos_Emitidos,Votos_Emitidos_per,Votos_Nulos,Votos_Nulos_per,Votos_Blancos,Votos_Blancos_per,Votos_Total,Votos_Total_per,City_id,City_with_id,Region_id,Region_with_id
DE VALPARAISO,QUILPUE,46570,57.9,33856,42.1,80426,98.92,685,0.84,197,0.24,81308,100.0,199,199-QUILPUE,1091,1091-DE VALPARAISO
DE VALPARAISO,QUINTERO,8623,61.37,5427,38.63,14050,98.89,108,0.76,50,0.35,14208,100.0,200,200-QUINTERO,1091,1091-DE VALPARAISO
DE VALPARAISO,RINCONADA,3487,58.77,2446,41.23,5933,99.26,34,0.57,10,0.17,5977,100.0,169,169-RINCONADA,1091,1091-DE VALPARAISO
DE VALPARAISO,SAN ANTONIO,32363,70.35,13640,29.65,46003,99.1,323,0.7,97,0.21,46423,100.0,187,187-SAN ANTONIO,1091,1091-DE VALPARAISO
DE VALPARAISO,SAN ESTEBAN,5322,58.79,3731,41.21,9053,98.52,110,1.2,26,0.28,9189,100.0,170,170-SAN ESTEBAN,1091,1091-DE VALPARAISO
DE VALPARAISO,SAN FELIPE,20196,59.9,13519,40.1,33715,98.96,257,0.75,98,0.29,34070,100.0,193,193-SAN FELIPE,1091,1091-DE VALPARAISO
DE VALPARAISO,SANTA MARIA,3833,57.14,2875,42.86,6708,98.81,64,0.94,17,0.25,6789,100.0,194,194-SANTA MARIA,1091,1091-DE VALPARAISO
DE VALPARAISO,SANTO DOMINGO,3484,41.9,4832,58.1,8316,98.89,74,0.88,19,0.23,8409,100.0,188,188-SANTO DOMINGO,1091,1091-DE VALPARAISO
DE VALPARAISO,VALPARAISO,99453,65.67,51992,34.33,151445,98.93,1258,0.82,379,0.25,153082,100.0,201,201-VALPARAISO,1091,1091-DE VALPARAISO
DE VALPARAISO,VILLA ALEMANA,33951,56.69,25937,43.31,59888,98.84,551,0.91,151,0.25,60590,100.0,202,202-VILLA ALEMANA,1091,1091-DE VALPARAISO
DE VALPARAISO,VIÑA DEL MAR,93427,54.76,77174,45.24,170601,98.85,1497,0.87,493,0.29,172591,100.0,203,203-VIÑA DEL MAR,1091,1091-DE VALPARAISO
DE VALPARAISO,ZAPALLAR,2745,43.83,3518,56.17,6263,98.14,82,1.28,37,0.58,6382,100.0,175,175-ZAPALLAR,1091,1091-DE VALPARAISO
METROPOLITANA DE SANTIAGO,total,2063639,60.33,1357007,39.67,3420646,98.87,28609,0.83,10526,0.3,3459781,100.0,-99,total,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,ALHUE,1952,64.13,1092,35.87,3044,99.41,9,0.29,9,0.29,3062,100.0,298,298-ALHUE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,BUIN,26268,56.3,20391,43.7,46659,99.02,358,0.76,105,0.22,47122,100.0,294,294-BUIN,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,CALERA DE TANGO,7141,50.02,7135,49.98,14276,98.95,107,0.74,45,0.31,14428,100.0,295,295-CALERA DE TANGO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,CERRILLOS,24001,63.46,13818,36.54,37819,99.14,257,0.67,70,0.18,38146,100.0,303,303-CERRILLOS,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,CERRO NAVIA,42576,70.23,18051,29.77,60627,99.2,358,0.59,128,0.21,61113,100.0,304,304-CERRO NAVIA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,COLINA,22453,40.75,32653,59.25,55106,98.73,509,0.91,198,0.35,55813,100.0,288,288-COLINA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,CONCHALI,43294,66.86,21464,33.14,64758,99.1,445,0.68,144,0.22,65347,100.0,305,305-CONCHALI,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,CURACAVI,9652,58.44,6865,41.56,16517,98.97,129,0.77,43,0.26,16689,100.0,299,299-CURACAVI,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,EL BOSQUE,49629,65.84,25753,34.16,75382,99.16,501,0.66,135,0.18,76018,100.0,306,306-EL BOSQUE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,EL MONTE,10139,61.93,6232,38.07,16371,98.84,145,0.88,47,0.28,16563,100.0,335,335-EL MONTE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,41330,64.86,22393,35.14,63723,99.03,471,0.73,155,0.24,64349,100.0,18258,18258-ESTACION CENTRAL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,HUECHURABA,28683,60.24,18931,39.76,47614,98.65,493,1.02,161,0.33,48268,100.0,308,308-HUECHURABA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,INDEPENDENCIA,24430,61.17,15505,38.83,39935,98.98,291,0.72,119,0.29,40345,100.0,309,309-INDEPENDENCIA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,ISLA DE MAIPO,10118,58.62,7141,41.38,17259,99.25,97,0.56,34,0.2,17390,100.0,336,336-ISLA DE MAIPO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LA CISTERNA,28899,60.48,18881,39.52,47780,99.07,357,0.74,91,0.19,48228,100.0,310,310-LA CISTERNA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LA FLORIDA,125000,64.76,68018,35.24,193018,99.05,1403,0.72,445,0.23,194866,100.0,311,311-LA FLORIDA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LA GRANJA,38965,70.25,16501,29.75,55466,99.18,339,0.61,117,0.21,55922,100.0,312,312-LA GRANJA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LA PINTANA,49972,72.93,18549,27.07,68521,99.1,449,0.65,172,0.25,69142,100.0,313,313-LA PINTANA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LA REINA,30753,49.33,31593,50.67,62346,98.03,844,1.33,407,0.64,63597,100.0,314,314-LA REINA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LAMPA,20285,57.34,15090,42.66,35375,98.49,273,0.76,268,0.75,35916,100.0,289,289-LAMPA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LAS CONDES,47733,26.51,132330,73.49,180063,97.74,2934,1.59,1230,0.67,184227,100.0,315,315-LAS CONDES,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LO BARNECHEA,12248,21.01,46038,78.99,58286,98.06,859,1.45,294,0.49,59439,100.0,316,316-LO BARNECHEA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LO ESPEJO,34532,73.12,12695,26.88,47227,99.14,295,0.62,115,0.24,47637,100.0,317,317-LO ESPEJO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,LO PRADO,33698,68.49,15500,31.51,49198,99.13,345,0.7,86,0.17,49629,100.0,318,318-LO PRADO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,MACUL,40364,63.73,22973,36.27,63337,98.94,475,0.74,202,0.32,64014,100.0,319,319-MACUL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,MAIPU,167374,66.63,83812,33.37,251186,99.17,1670,0.66,442,0.17,253298,100.0,320,320-MAIPU,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,MARIA PINTO,3959,57.65,2908,42.35,6867,99.21,41,0.59,14,0.2,6922,100.0,300,300-MARIA PINTO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,MELIPILLA,28453,54.71,23555,45.29,52008,99.24,305,0.58,94,0.18,52407,100.0,301,301-MELIPILLA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,ÑUÑOA,81608,59.57,55388,40.43,136996,98.56,1413,1.02,593,0.43,139002,100.0,321,321-ÑUÑOA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PADRE HURTADO,19359,65.52,10189,34.48,29548,99.09,203,0.68,69,0.23,29820,100.0,337,337-PADRE HURTADO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PAINE,17617,54.49,14711,45.51,32328,99.06,234,0.72,73,0.22,32635,100.0,296,296-PAINE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,39838,72.74,14930,27.26,54768,99.08,393,0.71,118,0.21,55279,100.0,322,322-PEDRO AGUIRRE CERDA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PEÑAFLOR,29349,65.93,15169,34.07,44518,99.0,353,0.79,95,0.21,44966,100.0,338,338-PEÑAFLOR,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PEÑALOLEN,74617,65.26,39713,34.74,114330,98.89,913,0.79,375,0.32,115618,100.0,323,323-PEÑALOLEN,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PIRQUE,8298,56.39,6418,43.61,14716,98.92,125,0.84,35,0.24,14876,100.0,291,291-PIRQUE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PROVIDENCIA,49489,48.25,53071,51.75,102560,97.96,1434,1.37,705,0.67,104699,100.0,324,324-PROVIDENCIA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PUDAHUEL,67932,68.52,31217,31.48,99149,99.14,648,0.65,214,0.21,100011,100.0,325,325-PUDAHUEL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PUENTE ALTO,162727,70.29,68773,29.71,231500,99.16,1541,0.66,418,0.18,233459,100.0,292,292-PUENTE ALTO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,QUILICURA,57492,67.97,27092,32.03,84584,99.18,532,0.62,168,0.2,85284,100.0,326,326-QUILICURA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,QUINTA NORMAL,36627,65.47,19317,34.53,55944,99.14,369,0.65,119,0.21,56432,100.0,327,327-QUINTA NORMAL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,RECOLETA,49686,65.9,25705,34.1,75391,98.83,684,0.9,207,0.27,76282,100.0,328,328-RECOLETA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,RENCA,44396,70.75,18355,29.25,62751,99.15,400,0.63,140,0.22,63291,100.0,329,329-RENCA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SAN BERNARDO,77034,64.51,42372,35.49,119406,99.17,775,0.64,225,0.19,120406,100.0,297,297-SAN BERNARDO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SAN JOAQUIN,33849,71.08,13773,28.92,47622,99.13,323,0.67,95,0.2,48040,100.0,330,330-SAN JOAQUIN,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SAN JOSE DE MAIPO,6446,67.32,3129,32.68,9575,98.82,82,0.85,32,0.33,9689,100.0,293,293-SAN JOSE DE MAIPO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SAN MIGUEL,38479,62.01,23570,37.99,62049,99.08,425,0.68,148,0.24,62622,100.0,331,331-SAN MIGUEL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SAN PEDRO,1989,43.14,2622,56.86,4611,99.12,28,0.6,13,0.28,4652,100.0,302,302-SAN PEDRO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SAN RAMON,30052,69.57,13143,30.43,43195,99.07,282,0.65,122,0.28,43599,100.0,332,332-SAN RAMON,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SANTIAGO,95375,60.71,61733,39.29,157108,99.01,1062,0.67,507,0.32,158677,100.0,333,333-SANTIAGO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,TALAGANTE,21906,59.69,14792,40.31,36698,98.98,273,0.74,104,0.28,37075,100.0,339,339-TALAGANTE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,TILTIL,5062,58.23,3631,41.77,8693,99.01,71,0.81,16,0.18,8780,100.0,290,290-TILTIL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,VITACURA,10511,16.73,52327,83.27,62838,97.14,1287,1.99,565,0.87,64690,100.0,334,334-VITACURA,1092,1092-METROPOLITANA DE SANTIAGO
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,total,251575,57.33,187215,42.67,438790,99.04,3183,0.72,1088,0.25,443061,100.0,-99,total,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,3374,48.94,3520,51.06,6894,99.21,42,0.6,13,0.19,6949,100.0,52,52-CHEPICA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,8654,55.2,7024,44.8,15678,99.18,86,0.54,43,0.27,15807,100.0,53,53-CHIMBARONGO,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
