Region,City,Boric,Boric_per,Kast,Kast_per,Provoste,Provoste_per,Sichel,Sichel_per,Artes,Artes_per,Enriquez,Enriquez_per,Parisi,Parisi_per,Votos_Emitidos,Votos_Emitidos_per,Votos_Nulos,Votos_Nulos_per,Votos_Blancos,Votos_Blancos_per,Votos_Total,Votos_Total_per,City_id,City_with_id,Region_id,Region_with_id
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,OLIVAR,1324,21.38,1701,27.47,718,11.59,835,13.48,46,0.74,493,7.96,1076,17.37,6193,98.61,55,0.88,32,0.51,6280,100.0,33,33-OLIVAR,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,819,17.69,1127,24.34,1231,26.58,671,14.49,39,0.84,275,5.94,469,10.13,4631,98.47,32,0.68,40,0.85,4703,100.0,56,56-PALMILLA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PAREDONES,634,21.04,752,24.96,708,23.5,523,17.36,24,0.8,155,5.14,217,7.2,3013,97.38,28,0.9,53,1.71,3094,100.0,50,50-PAREDONES,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,915,20.77,1092,24.79,921,20.91,772,17.53,40,0.91,273,6.2,392,8.9,4405,99.14,21,0.47,17,0.38,4443,100.0,57,57-PERALILLO,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PEUMO,1500,25.45,1260,21.37,985,16.71,770,13.06,84,1.42,505,8.57,791,13.42,5895,97.76,67,1.11,68,1.13,6030,100.0,38,38-PEUMO,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,1541,22.61,1614,23.68,1232,18.07,1138,16.69,83,1.22,464,6.81,745,10.93,6817,98.02,48,0.69,90,1.29,6955,100.0,39,39-PICHIDEGUA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,2210,26.41,1996,23.86,1173,14.02,1577,18.85,118,1.41,560,6.69,733,8.76,8367,98.44,78,0.92,55,0.65,8500,100.0,51,51-PICHILEMU,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,643,16.54,977,25.14,722,18.57,580,14.92,47,1.21,282,7.25,636,16.36,3887,98.11,42,1.06,33,0.83,3962,100.0,58,58-PLACILLA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,356,18.7,534,28.05,383,20.12,346,18.17,27,1.42,133,6.99,125,6.57,1904,98.7,8,0.41,17,0.88,1929,100.0,59,59-PUMANQUE,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,1464,25.36,1441,24.96,782,13.55,784,13.58,72,1.25,420,7.28,810,14.03,5773,97.98,60,1.02,59,1.0,5892,100.0,40,40-QUINTA DE TILCOCO,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,25622,27.17,22687,24.06,9012,9.56,11856,12.57,1141,1.21,7901,8.38,16075,17.05,94294,98.88,780,0.82,287,0.3,95361,100.0,41,41-RANCAGUA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,5573,24.31,5561,24.25,3314,14.45,2540,11.08,298,1.3,2182,9.52,3461,15.09,22929,98.2,255,1.09,166,0.71,23350,100.0,42,42-RENGO,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,2120,18.5,3401,29.68,1398,12.2,1380,12.04,107,0.93,909,7.93,2143,18.7,11458,97.29,96,0.82,223,1.89,11777,100.0,43,43-REQUINOA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN FERNANDO,7173,23.75,8385,27.77,3836,12.7,4240,14.04,372,1.23,2136,7.07,4055,13.43,30197,98.66,259,0.85,150,0.49,30606,100.0,60,60-SAN FERNANDO,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,4515,24.16,4736,25.34,3166,16.94,2779,14.87,218,1.17,1237,6.62,2040,10.91,18691,97.93,293,1.54,102,0.53,19086,100.0,45,45-SAN VICENTE,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,3012,22.32,3809,28.23,2049,15.19,2537,18.8,130,0.96,664,4.92,1291,9.57,13492,98.93,85,0.62,61,0.45,13638,100.0,61,61-SANTA CRUZ,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL MAULE,total,78911,19.57,127027,31.5,56249,13.95,54919,13.62,3782,0.94,27457,6.81,54961,13.63,403306,98.47,3835,0.94,2417,0.59,409558,100.0,-99,total,1098,1098-DEL MAULE
DEL MAULE,CAUQUENES,1999,12.79,7100,45.42,1967,12.58,2379,15.22,113,0.72,762,4.87,1311,8.39,15631,98.06,182,1.14,127,0.8,15940,100.0,258,258-CAUQUENES,1098,1098-DEL MAULE
DEL MAULE,CHANCO,462,13.03,1719,48.48,583,16.44,391,11.03,16,0.45,140,3.95,235,6.63,3546,97.04,63,1.72,45,1.23,3654,100.0,259,259-CHANCO,1098,1098-DEL MAULE
DEL MAULE,COLBUN,1512,19.98,2140,28.28,1198,15.83,834,11.02,76,1.0,674,8.91,1132,14.96,7566,97.76,94,1.21,79,1.02,7739,100.0,270,270-COLBUN,1098,1098-DEL MAULE
DEL MAULE,CONSTITUCION,2927,16.78,4469,25.61,2754,15.78,2062,11.82,188,1.08,1188,6.81,3860,22.12,17448,98.29,181,1.02,122,0.69,17751,100.0,278,278-CONSTITUCION,1098,1098-DEL MAULE
DEL MAULE,CUREPTO,887,22.0,1062,26.34,842,20.88,630,15.62,35,0.87,191,4.74,385,9.55,4032,97.65,56,1.36,41,0.99,4129,100.0,279,279-CUREPTO,1098,1098-DEL MAULE
DEL MAULE,CURICO,12531,21.69,17171,29.72,6936,12.0,7992,13.83,642,1.11,4656,8.06,7855,13.59,57783,98.8,450,0.77,253,0.43,58486,100.0,261,261-CURICO,1098,1098-DEL MAULE
DEL MAULE,EMPEDRADO,123,6.81,855,47.32,235,13.0,194,10.74,6,0.33,94,5.2,300,16.6,1807,98.47,17,0.93,11,0.6,1835,100.0,280,280-EMPEDRADO,1098,1098-DEL MAULE
DEL MAULE,HUALAÑE,817,19.68,992,23.9,1017,24.5,660,15.9,40,0.96,259,6.24,366,8.82,4151,98.41,37,0.88,30,0.71,4218,100.0,262,262-HUALAÑE,1098,1098-DEL MAULE
DEL MAULE,LICANTEN,562,18.57,735,24.28,539,17.81,628,20.75,29,0.96,187,6.18,347,11.46,3027,99.12,15,0.49,12,0.39,3054,100.0,263,263-LICANTEN,1098,1098-DEL MAULE
DEL MAULE,LINARES,7895,21.51,12574,34.26,4137,11.27,4493,12.24,318,0.87,2377,6.48,4913,13.38,36707,98.8,288,0.78,157,0.42,37152,100.0,271,271-LINARES,1098,1098-DEL MAULE
DEL MAULE,LONGAVI,1644,16.31,4182,41.5,1414,14.03,1186,11.77,56,0.56,518,5.14,1077,10.69,10077,98.5,87,0.85,66,0.65,10230,100.0,272,272-LONGAVI,1098,1098-DEL MAULE
DEL MAULE,MAULE,2117,17.63,3418,28.47,1525,12.7,1544,12.86,94,0.78,968,8.06,2339,19.48,12005,98.43,109,0.89,82,0.67,12196,100.0,281,281-MAULE,1098,1098-DEL MAULE
DEL MAULE,MOLINA,3961,21.05,4884,25.96,3244,17.24,2253,11.97,185,0.98,1647,8.75,2641,14.04,18815,98.35,198,1.03,118,0.62,19131,100.0,264,264-MOLINA,1098,1098-DEL MAULE
DEL MAULE,PARRAL,2752,16.49,6504,38.97,2394,14.34,2552,15.29,109,0.65,829,4.97,1551,9.29,16691,98.44,156,0.92,108,0.64,16955,100.0,273,273-PARRAL,1098,1098-DEL MAULE
DEL MAULE,PELARCO,549,15.09,1127,30.99,595,16.36,528,14.52,29,0.8,248,6.82,561,15.42,3637,98.48,41,1.11,15,0.41,3693,100.0,282,282-PELARCO,1098,1098-DEL MAULE
DEL MAULE,PELLUHUE,692,17.21,1813,45.08,531,13.2,499,12.41,34,0.85,179,4.45,274,6.81,4022,97.53,66,1.6,36,0.87,4124,100.0,260,260-PELLUHUE,1098,1098-DEL MAULE
DEL MAULE,PENCAHUE,634,13.24,1686,35.21,936,19.54,656,13.7,24,0.5,269,5.62,584,12.19,4789,95.8,168,3.36,42,0.84,4999,100.0,283,283-PENCAHUE,1098,1098-DEL MAULE
DEL MAULE,RAUCO,602,13.96,1474,34.19,722,16.75,567,13.15,37,0.86,383,8.88,526,12.2,4311,98.27,47,1.07,29,0.66,4387,100.0,265,265-RAUCO,1098,1098-DEL MAULE
DEL MAULE,RETIRO,908,12.57,2962,41.02,933,12.92,1226,16.98,55,0.76,400,5.54,737,10.21,7221,97.83,71,0.96,89,1.21,7381,100.0,274,274-RETIRO,1098,1098-DEL MAULE
