Region,City,Participa_mesas,Participa_electors,Participa_votes,Participa_percentage,City_id,City_with_id,Region_id,Region_with_id
METROPOLITANA DE SANTIAGO,SAN JOAQUIN,263,80763,48040,59.48,330,330-SAN JOAQUIN,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SAN JOSE DE MAIPO,48,16006,9689,60.53,293,293-SAN JOSE DE MAIPO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SAN MIGUEL,313,105216,62622,59.52,331,331-SAN MIGUEL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SAN PEDRO,25,8577,4652,54.24,302,302-SAN PEDRO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SAN RAMON,251,80041,43599,54.47,332,332-SAN RAMON,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SANTIAGO,1049,339067,158677,46.8,333,333-SANTIAGO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,TALAGANTE,173,58940,37075,62.9,339,339-TALAGANTE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,TILTIL,54,14962,8780,58.68,290,290-TILTIL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,VITACURA,265,88802,64690,72.85,334,334-VITACURA,1092,1092-METROPOLITANA DE SANTIAGO
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,TOTAL,2351,780303,443061,56.78,-99,total,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,41,13827,6949,50.26,52,52-CHEPICA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,90,30692,15807,51.5,53,53-CHIMBARONGO,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,35,11661,6495,55.7,29,29-CODEGUA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COINCO,22,7305,4120,56.4,30,30-COINCO,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,48,16381,8756,53.45,31,31-COLTAUCO,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DOÑIHUE,59,18597,10667,57.36,32,32-DOÑIHUE,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,80,27062,15933,58.88,34,34-GRANEROS,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LA ESTRELLA,15,3799,2282,60.07,46,46-LA ESTRELLA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,65,20829,10942,52.53,35,35-LAS CABRAS,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,22,6624,3972,59.96,47,47-LITUECHE,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,21,6957,3840,55.2,54,54-LOLOL,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MACHALI,114,38282,24095,62.94,36,36-MACHALI,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MALLOA,43,12391,6883,55.55,37,37-MALLOA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MARCHIGUE,22,7159,4075,56.92,48,48-MARCHIGUE,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,64,21204,12321,58.11,44,44-MOSTAZAL,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NANCAGUA,45,15306,8533,55.75,55,55-NANCAGUA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,21,7214,4172,57.83,49,49-NAVIDAD,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,OLIVAR,42,12567,7356,58.53,33,33-OLIVAR,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,31,10565,6003,56.82,56,56-PALMILLA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PAREDONES,24,7049,3906,55.41,50,50-PAREDONES,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,30,10158,5977,58.84,57,57-PERALILLO,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PEUMO,39,12895,7439,57.69,38,38-PEUMO,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,50,17017,8679,51.0,39,39-PICHIDEGUA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,49,16735,10402,62.16,51,51-PICHILEMU,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,25,8296,4809,57.97,58,58-PLACILLA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,13,4262,2460,57.72,59,59-PUMANQUE,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,37,12463,7359,59.05,40,40-QUINTA DE TILCOCO,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,574,195074,111386,57.1,41,41-RANCAGUA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,149,49052,27595,56.26,42,42-RENGO,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,69,23324,13519,57.96,43,43-REQUINOA,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN FERNANDO,187,63060,36193,57.39,60,60-SAN FERNANDO,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,133,40881,23173,56.68,45,45-SAN VICENTE,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,92,31615,16963,53.65,61,61-SANTA CRUZ,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
DEL MAULE,TOTAL,2730,892246,495284,55.51,-99,total,1098,1098-DEL MAULE
DEL MAULE,CAUQUENES,120,37684,19681,52.23,258,258-CAUQUENES,1098,1098-DEL MAULE
DEL MAULE,CHANCO,34,9369,5158,55.05,259,259-CHANCO,1098,1098-DEL MAULE
DEL MAULE,COLBUN,55,18716,9256,49.46,270,270-COLBUN,1098,1098-DEL MAULE
DEL MAULE,CONSTITUCION,122,40149,21109,52.58,278,278-CONSTITUCION,1098,1098-DEL MAULE
DEL MAULE,CUREPTO,36,10330,5328,51.58,279,279-CUREPTO,1098,1098-DEL MAULE
DEL MAULE,CURICO,383,118541,68803,58.04,261,261-CURICO,1098,1098-DEL MAULE
DEL MAULE,EMPEDRADO,15,4523,2480,54.83,280,280-EMPEDRADO,1098,1098-DEL MAULE
DEL MAULE,HUALAÑE,32,9788,5671,57.94,262,262-HUALAÑE,1098,1098-DEL MAULE
DEL MAULE,LICANTEN,24,6897,3950,57.27,263,263-LICANTEN,1098,1098-DEL MAULE
DEL MAULE,LINARES,241,82252,44354,53.92,271,271-LINARES,1098,1098-DEL MAULE
DEL MAULE,LONGAVI,79,27055,13474,49.8,272,272-LONGAVI,1098,1098-DEL MAULE
DEL MAULE,MAULE,78,25279,14269,56.45,281,281-MAULE,1098,1098-DEL MAULE
DEL MAULE,MOLINA,119,39735,22936,57.72,264,264-MOLINA,1098,1098-DEL MAULE
DEL MAULE,PARRAL,128,38210,20771,54.36,273,273-PARRAL,1098,1098-DEL MAULE
DEL MAULE,PELARCO,26,8675,4686,54.02,282,282-PELARCO,1098,1098-DEL MAULE
DEL MAULE,PELLUHUE,26,7912,5085,64.27,260,260-PELLUHUE,1098,1098-DEL MAULE
DEL MAULE,PENCAHUE,37,10371,5973,57.59,283,283-PENCAHUE,1098,1098-DEL MAULE
DEL MAULE,RAUCO,29,10014,5490,54.82,265,265-RAUCO,1098,1098-DEL MAULE
DEL MAULE,RETIRO,52,17799,9345,52.5,274,274-RETIRO,1098,1098-DEL MAULE
DEL MAULE,RIO CLARO,36,12186,6621,54.33,284,284-RIO CLARO,1098,1098-DEL MAULE
DEL MAULE,ROMERAL,41,14037,7933,56.51,266,266-ROMERAL,1098,1098-DEL MAULE
DEL MAULE,SAGRADA FAMILIA,50,16115,9242,57.35,267,267-SAGRADA FAMILIA,1098,1098-DEL MAULE
